step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
1,2.64588,2.85796,0.0703125,1,2.64064,2.85272,0.0703125,1,2.64216,2.85424,0.0703125,1,2.67597,2.88805,0.0703125,1,2.63592,2.848,0.0703125,1,2.6468,2.85887,0.0703125,1,2.65588,2.86795,0.0703125,1,2.63517,2.84725,0.0703125
101,2.42957,2.64164,0.105469,101,2.41196,2.62403,0.105469,101,2.42976,2.64184,0.105469,101,2.42044,2.63252,0.105469,101,2.40745,2.61953,0.105469,101,2.41556,2.62763,0.105469,101,2.43036,2.64243,0.105469,101,2.42409,2.63616,0.105469
201,2.57982,2.7919,0.0963542,201,2.55813,2.77021,0.0963542,201,2.576,2.78807,0.0963542,201,2.58616,2.79824,0.0963542,201,2.56718,2.77925,0.0963542,201,2.57608,2.78816,0.0963542,201,2.56572,2.7778,0.0963542,201,2.57237,2.78445,0.0963542
301,2.53575,2.74782,0.101563,301,2.55379,2.76587,0.101563,301,2.55728,2.76936,0.101563,301,2.55949,2.77156,0.101563,301,2.55915,2.77122,0.101563,301,2.56662,2.7787,0.101563,301,2.55231,2.76439,0.101563,301,2.56265,2.77473,0.101563
394,2.64588,2.85796,0.0703125,394,2.64064,2.85272,0.0703125,394,2.64216,2.85424,0.0703125,394,2.67597,2.88805,0.0703125,394,2.63592,2.848,0.0703125,394,2.6468,2.85887,0.0703125,394,2.65588,2.86795,0.0703125,394,2.63517,2.84725,0.0703125
494,2.42957,2.64164,0.105469,494,2.41196,2.62403,0.105469,494,2.42976,2.64184,0.105469,494,2.42044,2.63252,0.105469,494,2.40745,2.61953,0.105469,494,2.41556,2.62763,0.105469,494,2.43036,2.64243,0.105469,494,2.42409,2.63616,0.105469
594,2.57982,2.7919,0.0963542,594,2.55813,2.77021,0.0963542,594,2.576,2.78807,0.0963542,594,2.58616,2.79824,0.0963542,594,2.56718,2.77925,0.0963542,594,2.57608,2.78816,0.0963542,594,2.56572,2.7778,0.0963542,594,2.57237,2.78445,0.0963542
694,2.53575,2.74782,0.101563,694,2.55379,2.76587,0.101563,694,2.55728,2.76936,0.101563,694,2.55949,2.77156,0.101563,694,2.55915,2.77122,0.101563,694,2.56662,2.7787,0.101563,694,2.55231,2.76439,0.101563,694,2.56265,2.77473,0.101563
787,2.64588,2.85796,0.0703125,787,2.64064,2.85272,0.0703125,787,2.64216,2.85424,0.0703125,787,2.67597,2.88805,0.0703125,787,2.63592,2.848,0.0703125,787,2.6468,2.85887,0.0703125,787,2.65588,2.86795,0.0703125,787,2.63517,2.84725,0.0703125
887,2.42957,2.64164,0.105469,887,2.41196,2.62403,0.105469,887,2.42976,2.64184,0.105469,887,2.42044,2.63252,0.105469,887,2.40745,2.61953,0.105469,887,2.41556,2.62763,0.105469,887,2.43036,2.64243,0.105469,887,2.42409,2.63616,0.105469
