step_mut43_150MR1bgr, cross_entropy_mut43_150MR1bgr, loss_mut43_150MR1bgr, train_accuracy_mut43_150MR1bgr,step_mut43_150MR1brg, cross_entropy_mut43_150MR1brg, loss_mut43_150MR1brg, train_accuracy_mut43_150MR1brg,step_mut43_150MR1gbr, cross_entropy_mut43_150MR1gbr, loss_mut43_150MR1gbr, train_accuracy_mut43_150MR1gbr,step_mut43_150MR1grb, cross_entropy_mut43_150MR1grb, loss_mut43_150MR1grb, train_accuracy_mut43_150MR1grb,step_mut43_150MR1rbg, cross_entropy_mut43_150MR1rbg, loss_mut43_150MR1rbg, train_accuracy_mut43_150MR1rbg,step_mut43_150MR1rgb, cross_entropy_mut43_150MR1rgb, loss_mut43_150MR1rgb, train_accuracy_mut43_150MR1rgb
1,2.66586,2.87793,0.0703125,1,2.6708,2.88288,0.0703125,1,2.6737,2.88577,0.0703125,1,2.65779,2.86986,0.0703125,1,2.65421,2.86629,0.0703125,1,2.64588,2.85796,0.0703125
101,1.7482,1.96028,0.226563,101,1.80896,2.02195,0.191406,101,1.71562,1.92872,0.183594,101,1.7632,1.97617,0.191406,101,1.79853,2.01096,0.207031,101,1.66459,1.87697,0.226563
201,1.39442,1.60556,0.315104,201,1.35394,1.566,0.276042,201,1.32243,1.535,0.276042,201,1.29356,1.50677,0.302083,201,1.38592,1.59659,0.286458,201,1.35468,1.56681,0.315104
301,1.35698,1.56835,0.359375,301,1.23824,1.45051,0.357422,301,1.27408,1.48716,0.347656,301,1.18779,1.40142,0.359375,301,1.23086,1.44101,0.361328,301,1.20472,1.41698,0.386719
394,1.12474,1.33726,0.601563,394,1.04921,1.26264,0.625,394,1.0311,1.2448,0.554688,394,1.01237,1.22638,0.648438,394,1.13835,1.34873,0.5625,394,1.00304,1.21636,0.632813
494,1.1425,1.357,0.605469,494,1.05988,1.27518,0.613281,494,1.09993,1.31549,0.5625,494,1.17366,1.38888,0.613281,494,1.20532,1.41685,0.546875,494,1.1391,1.3542,0.59375
594,0.972528,1.18972,0.611979,594,1.00619,1.2237,0.606771,594,0.932638,1.15041,0.591146,594,1.0086,1.22566,0.611979,594,1.04181,1.25532,0.557292,594,1.07496,1.29216,0.604167
694,1.00973,1.22986,0.625,694,0.894414,1.11469,0.623047,694,0.969425,1.19001,0.605469,694,0.938065,1.15694,0.628906,694,0.992059,1.20748,0.580078,694,0.959194,1.17919,0.626953
787,0.77212,0.995658,0.742188,787,0.692284,0.914952,0.742188,787,0.546124,0.769701,0.835938,787,0.663391,0.884274,0.796875,787,0.712198,0.930014,0.734375,787,0.679203,0.901899,0.765625
887,0.808943,1.03567,0.695313,887,0.855773,1.08149,0.691406,887,0.901282,1.12832,0.726563,887,0.86775,1.09122,0.730469,887,0.909634,1.13007,0.710938,887,0.782436,1.00856,0.726563
987,0.689117,0.919497,0.713542,987,0.737056,0.966128,0.705729,987,0.707901,0.938124,0.736979,987,0.745819,0.972214,0.723958,987,0.750456,0.97404,0.71875,987,0.740008,0.969719,0.734375
1087,0.61757,0.852008,0.726563,1087,0.555183,0.787975,0.724609,1087,0.579209,0.812982,0.757813,1087,0.822068,1.05193,0.724609,1087,0.683119,0.910164,0.726563,1087,0.649131,0.882538,0.734375
1180,0.43926,0.677539,0.835938,1180,0.489424,0.726213,0.828125,1180,0.333202,0.570742,0.890625,1180,0.384624,0.617876,0.882813,1180,0.447466,0.678105,0.804688,1180,0.478767,0.716041,0.835938
1280,0.633728,0.875996,0.789063,1280,0.548311,0.78909,0.792969,1280,0.602613,0.84418,0.839844,1280,0.676961,0.913906,0.808594,1280,0.661132,0.89561,0.765625,1280,0.707485,0.949209,0.789063
1380,0.54729,0.793846,0.802083,1380,0.527727,0.772901,0.799479,1380,0.551902,0.797813,0.835938,1380,0.499568,0.740635,0.804688,1380,0.557386,0.796351,0.763021,1380,0.436598,0.683201,0.8125
1480,0.473458,0.724585,0.808594,1480,0.504785,0.754871,0.808594,1480,0.420843,0.670976,0.84375,1480,0.4714,0.717183,0.816406,1480,0.438369,0.681749,0.783203,1480,0.533322,0.784298,0.810547
1573,0.312776,0.568178,0.875,1573,0.341831,0.596486,0.867188,1573,0.334185,0.58896,0.882813,1573,0.286854,0.536623,0.921875,1573,0.303994,0.551852,0.882813,1573,0.344,0.599409,0.875
1673,0.456915,0.716987,0.847656,1673,0.485684,0.744814,0.84375,1673,0.548773,0.808129,0.84375,1673,0.535566,0.789569,0.859375,1673,0.607012,0.860119,0.816406,1673,0.517344,0.777447,0.84375
1773,0.406558,0.671593,0.859375,1773,0.366542,0.630613,0.846354,1773,0.330986,0.59535,0.856771,1773,0.42972,0.68887,0.835938,1773,0.475789,0.733931,0.820313,1773,0.309004,0.574584,0.859375
1873,0.341247,0.61042,0.863281,1873,0.364991,0.633857,0.845703,1873,0.256743,0.525397,0.869141,1873,0.332865,0.597137,0.845703,1873,0.403387,0.666724,0.830078,1873,0.284364,0.554248,0.871094
1966,0.250967,0.524516,0.90625,1966,0.246153,0.519738,0.890625,1966,0.178738,0.451824,0.914063,1966,0.218984,0.487296,0.921875,1966,0.205618,0.473992,0.921875,1966,0.307652,0.582294,0.914063
2066,0.520747,0.799124,0.851563,2066,0.416663,0.695719,0.863281,2066,0.399564,0.676867,0.886719,2066,0.355175,0.627718,0.890625,2066,0.445045,0.718876,0.871094,2066,0.371761,0.650975,0.882813
2166,0.280296,0.563325,0.867188,2166,0.276403,0.560086,0.872396,2166,0.1887,0.470425,0.898438,2166,0.466478,0.74351,0.869792,2166,0.316469,0.594548,0.869792,2166,0.323007,0.6068,0.885417
2266,0.218462,0.504482,0.882813,2266,0.278523,0.566115,0.882813,2266,0.124884,0.409741,0.908203,2266,0.218989,0.500616,0.882813,2266,0.30989,0.592351,0.871094,2266,0.315197,0.602349,0.888672
2359,0.189869,0.479329,0.921875,2359,0.181849,0.473691,0.929688,2359,0.146112,0.434405,0.945313,2359,0.165273,0.450637,0.929688,2359,0.185796,0.472613,0.953125,2359,0.240503,0.532558,0.929688
